#{"t_start": 1738749049.8012466, "env_id": "None"}
r,l,t
1308.029067,7,64.123276
1280.743105,7,64.253956
1315.179288,7,64.395995
1306.705054,7,64.521521
1296.24508,7,64.658822
1309.474907,7,64.794482
1283.295427,7,64.952609
1354.457369,7,65.091166
1329.668217,7,65.218717
1310.054371,7,65.353236
1307.278938,7,65.489963
1310.105376,7,65.67656
1298.337237,7,65.825298
1281.557473,7,65.974524
1293.013005,7,66.11682
1288.532963,7,66.250837
1316.302057,7,66.373142
1399.793897,7,66.499583
1295.915404,7,66.625344
1327.858068,7,67.291105
1278.424939,7,67.439888
1334.56921,7,67.572933
1290.009821,7,67.719808
1281.688669,7,67.890216
1320.344645,7,68.029764
1335.76826,7,68.150736
1306.921444,7,68.29478
1327.853241,7,68.450359
1309.800819,7,68.579075
1307.421576,7,68.724242
1291.689558,7,68.872227
1365.346157,7,69.015097
1309.836931,7,69.144221
1320.70667,7,69.264448
1303.659331,7,69.430123
1342.798206,7,69.585715
1301.621223,7,69.728911
1308.734793,7,69.905481
1328.403925,7,70.03965
1338.957427,7,70.163547
1307.285359,7,70.282652
1295.105415,7,70.393143
1295.968654,7,70.508012
1313.27954,7,70.633376
1362.75042,7,70.765114
1312.430084,7,70.892243
1352.93124,7,71.024912
1284.433785,7,71.160014
1341.954115,7,71.27979
1323.594989,7,71.398791
1282.658338,7,71.526142
1324.674355,7,71.657822
1265.619527,7,71.781399
1332.056568,7,71.905086
1286.87878,7,72.033749
1304.285367,7,72.164829
1340.625093,7,72.296089
1301.770476,7,72.44576
1304.636624,7,72.618295
1302.177493,7,72.837335
1286.161278,7,72.981284
1315.753195,7,73.135972
1295.753791,7,73.256734
1304.568253,7,73.373908
1290.28329,7,73.487907
1308.248266,7,73.60263
1332.446432,7,73.718431
1302.941301,7,73.859855
1304.674861,7,73.979393
1303.739595,7,74.179599
1325.82283,7,74.304234
1321.611728,7,74.425894
1305.292616,7,74.553663
1345.704886,7,74.686329
1312.319916,7,74.797701
1288.362283,7,74.910776
1296.788903,7,75.029651
1303.223554,7,75.147109
1306.735027,7,75.262848
1295.732907,7,75.379629
1269.794568,7,75.494083
1305.098723,7,76.036374
1327.281999,7,76.228095
1295.217402,7,76.365951
1312.448668,7,76.486548
1323.870805,7,76.599679
1359.392732,7,76.743671
1303.351997,7,76.880969
1293.935739,7,76.99049
1321.677259,7,77.098274
1278.677069,7,77.217454
1317.798793,7,77.330047
1313.745678,7,77.472638
1317.673919,7,77.636498
1305.554379,7,77.770017
1296.612838,7,77.880333
1277.544809,7,78.008858
1302.465892,7,78.120401
1319.484715,7,78.233288
1275.628656,7,78.339436
1306.842505,7,78.449546
1287.347676,7,78.574215
1308.161394,7,78.702269
1272.83265,7,78.839074
1322.124953,7,78.974741
1293.974474,7,79.125329
1300.555887,7,79.294597
1313.384039,7,79.419845
1322.658065,7,79.554368
1336.903128,7,79.683889
1274.058684,7,79.811806
1296.871914,7,79.920489
1286.399134,7,80.024602
1302.714194,7,80.141697
1292.955858,7,80.255457
1303.561591,7,80.368
1283.448199,7,80.48028
1406.977004,7,80.60195
1306.234423,7,80.732463
1285.243843,7,80.850202
1326.122952,7,80.960982
1309.946904,7,81.085301
1319.278652,7,81.202559
1283.121432,7,81.341815
1298.133428,7,81.466503
1304.843664,7,81.582906
1335.919753,7,81.707982
1322.873866,7,81.831733
1307.711856,7,81.961339
1304.968937,7,82.089975
1300.627483,7,82.2028
1286.519745,7,82.313442
1313.785829,7,82.429079
1289.910471,7,82.543478
1316.137416,7,82.668286
1268.796644,7,82.799867
1277.351983,7,82.929471
1285.315358,7,83.036994
1321.926066,7,83.153788
1288.290879,7,83.284633
1296.778778,7,83.413816
1280.599212,7,83.524406
1323.398296,7,83.699956
1316.590328,7,83.827543
1325.961549,7,83.942209
1314.494699,7,84.054767
1301.087482,7,84.456303
1278.124444,7,84.581967
1318.95546,7,84.709421
1288.516384,7,84.831181
1299.954609,7,84.948533
1287.426702,7,85.055253
1285.258859,7,85.165489
1300.310242,7,85.274209
1329.745292,7,85.388601
1308.284918,7,85.505332
1308.026854,7,85.646228
1326.513359,7,85.766379
1318.233968,7,85.904462
1307.347997,7,86.02166
1282.261137,7,86.155131
1312.116435,7,86.283309
1313.817281,7,86.413381
1310.380009,7,86.552502
1352.278074,7,86.695027
1330.020658,7,86.925253
1312.113554,7,87.545343
1312.669777,7,87.676441
1329.186227,7,87.837921
1279.753492,7,87.992307
1299.547421,7,88.180162
1317.873477,7,88.345452
1313.284148,7,88.525594
1310.272663,7,88.724401
1310.578732,7,88.875634
1312.475431,7,89.037912
1287.993843,7,89.192064
1386.261492,7,89.333617
1325.490354,7,89.474132
1350.112575,7,89.607659
1303.629587,7,89.759385
1330.674546,7,90.179986
1298.617549,7,90.324817
1310.293633,7,90.461937
1322.028122,7,90.578884
1309.014835,7,90.719049
1326.818891,7,90.853722
1325.001111,7,90.984348
1266.635875,7,91.118631
1336.494487,7,91.272192
1306.602023,7,91.416456
1302.709793,7,91.550089
1314.847336,7,91.69862
1267.135423,7,91.830663
1301.90713,7,91.955136
1311.227592,7,92.074793
1302.386417,7,92.204574
1280.1952,7,92.325983
1284.251141,7,92.503549
1332.499349,7,92.614301
1394.076459,7,92.802878
1311.168704,7,92.939073
1300.337715,7,93.056156
1347.880529,7,93.179101
1327.216102,7,93.2966
1278.570062,7,93.399127
1281.396196,7,93.506631
1322.415536,7,93.619581
1302.786417,7,93.730099
1273.877654,7,93.843543
1322.201507,7,94.000486
1324.581372,7,94.147673
1325.957697,7,94.280204
1344.546962,7,94.46631
1292.199917,7,94.632646
1308.798161,7,94.742552
1322.712789,7,94.867445
1297.317471,7,94.976933
1310.278667,7,95.188255
1320.801235,7,95.327318
1292.640481,7,95.543974
1272.023713,7,95.687535
1337.040574,7,95.861154
1280.511269,7,95.994679
1288.611155,7,96.202091
1321.866589,7,96.34475
1316.354541,7,96.47714
1291.908046,7,96.598528
1299.928523,7,96.736166
1311.732394,7,96.982111
1286.807211,7,97.120592
1322.236146,7,97.232624
1294.638116,7,97.346145
1302.221416,7,97.457671
1328.044243,7,97.57683
1309.493001,7,97.765419
1304.947406,7,97.896132
1325.934212,7,98.02919
1297.309091,7,98.234597
1316.729338,7,98.355874
1331.489203,7,98.470075
1330.706089,7,98.574596
1273.57572,7,98.70517
1313.838811,7,98.822812
1322.349669,7,98.970856
1363.73142,7,99.092176
1312.945568,7,99.228418
1301.258069,7,99.349402
1333.488886,7,99.464076
1300.781943,7,99.574593
1297.994192,7,99.695141
1297.466739,7,99.807677
1294.489554,7,99.917271
1314.752258,7,100.026334
1329.027813,7,100.137425
1287.440488,7,100.242174
1295.936695,7,100.348657
1302.213367,7,100.470179
1295.592906,7,100.577701
1311.69601,7,100.69922
1319.318761,7,100.819756
1352.511022,7,100.937693
1317.961101,7,101.054201
1295.587708,7,101.171251
1334.949543,7,101.295774
1314.130859,7,101.409815
1282.469282,7,101.541393
1288.117442,7,101.659572
1321.647299,7,101.774063
1294.083466,7,101.891193
1327.294342,7,102.005709
1282.049178,7,102.134312
1309.76725,7,102.252756
1309.853465,7,102.364116
1360.932612,7,102.481152
1346.584856,7,102.598449
1303.5638,7,102.715975
1300.47311,7,102.82869
1359.973961,7,102.935432
1297.452296,7,103.051494
1315.169941,7,103.168283
1303.11623,7,103.642855
1298.953275,7,103.772611
1324.495924,7,103.891734
1288.910113,7,104.095107
1299.300202,7,104.230174
1317.507338,7,104.337957
1281.655957,7,104.444323
1295.003869,7,104.552974
1310.372119,7,104.651494
1302.649748,7,104.747575
1297.857948,7,104.836139
1313.850489,7,104.918076
1271.710752,7,105.005182
1299.858903,7,105.107872
1309.91115,7,105.756755
1301.418825,7,105.866575
1324.828185,7,105.990412
1346.556464,7,106.102829
1311.023911,7,106.244487
1311.335608,7,106.465682
1307.747901,7,106.585411
1324.175155,7,106.705874
1300.667628,7,106.855103
1323.191941,7,106.978864
1341.093932,7,107.146222
1320.163486,7,107.239744
1317.344954,7,107.345392
1298.404112,7,107.457144
1304.245329,7,107.560416
1293.763951,7,107.68122
1323.796289,7,107.78051
1313.022226,7,108.204882
1319.715555,7,108.308277
1285.902336,7,108.410807
1316.378961,7,108.528378
1311.826705,7,108.659928
1290.72388,7,108.786546
1298.340191,7,108.884996
1319.673552,7,108.990727
1324.001633,7,109.153407
1354.928637,7,109.312947
1313.694924,7,109.46001
1314.106893,7,109.567125
1310.459321,7,109.703677
1363.624861,7,109.898574
1264.261835,7,110.022169
1349.091725,7,110.126231
1341.205498,7,110.222454
1320.480726,7,110.332693
1273.170127,7,110.44001
1305.860036,7,110.548559
1312.831769,7,110.672116
1303.045039,7,110.90011
1315.005737,7,111.016374
1278.199962,7,111.119238
1308.53766,7,111.222525
1301.676637,7,111.324161
1309.853534,7,111.417766
1303.622705,7,111.521851
1316.516961,7,111.626116
1300.458649,7,111.730802
1330.347691,7,111.82754
1328.663695,7,111.916579
1332.95678,7,112.008219
1294.068334,7,112.110385
1359.037626,7,112.220062
1377.875815,7,112.321927
1322.417218,7,112.420674
1283.110337,7,112.532323
1306.780675,7,112.64342
1311.199239,7,112.756593
